player_id,player_name,goals_scored,team_name,nationality,age,position,matches_played
1,Sigvard Rojas,47,Monaco,Tunisia,26,Forward,35
2,Maggi Burgoin,10,Monaco,Brazil,22,Forward,42
3,Josie Brecher,19,Real Madrid,China,23,Midfielder,43
4,Maryjo Nutter,39,Newcastle,Brazil,20,Midfielder,49
5,Deloris Leven,6,Monaco,Canada,21,Defender,7
6,Reeba Tresvina,36,Seattle Sounders,China,17,Defender,23
7,Meghan Karel,26,PSG,Colombia,36,Forward,39
8,Karylin Hughlin,48,Aston Villa,Indonesia,33,Midfielder,27
9,Romona Ipsley,13,Real Madrid,Croatia,28,Forward,49
10,Pepito Klimshuk,20,Arsenal,Guadeloupe,18,Defender,40
11,Travers Robinett,2,Barcelona,Dominican Republic,24,Forward,50
12,Jordan Gianinotti,50,Manchester City,Indonesia,29,Defender,15
13,Hester Yosselevitch,34,Leipzig,China,38,Defender,8
14,Isaiah Klich,4,Newcastle,Indonesia,25,Forward,20
15,Kassandra Yeomans,8,Aston Villa,Tanzania,37,Forward,19
16,Dian Maylard,4,Lyon,Palestinian Territory,22,Midfielder,6
17,Jacintha Brudenell,8,Aston Villa,Pakistan,25,Forward,16
18,Elfreda Tothe,36,Arsenal,Czech Republic,36,Midfielder,15
19,Federica Lardnar,18,Leipzig,China,34,Forward,25
20,Jesselyn Baumadier,5,Chelsea,Mexico,36,Midfielder,14
21,Esta Hartness,50,Barcelona,Honduras,37,Midfielder,47
22,Verena Darkins,48,Leipzig,Philippines,24,Midfielder,13
23,Bernard Bolingbroke,24,Liverpool,Indonesia,30,Defender,49
24,Rheta O' Donohue,42,Manchester United,Mexico,19,Forward,7
25,Phaedra Fern,17,Bayren Leverkusen,France,25,Midfielder,18
26,Myrvyn Bertolaccini,33,Bayren Leverkusen,China,39,Forward,20
27,Maisie Kisbey,12,Everton,Indonesia,29,Midfielder,0
28,Simonne Loads,9,Arsenal,Canada,33,Defender,11
29,Wynn Tiner,38,Seattle Sounders,Sierra Leone,32,Midfielder,21
30,Lorri Keyse,42,PSG,Thailand,38,Midfielder,1
31,Judah Clowley,5,Chelsea,Colombia,30,Midfielder,27
