player_id,player_name,goals_scored,team_name,nationality,age,position,matches_played
1,Jacqueline Collier,37,Monaco,Dominican Republic,28,Forward,33
2,Redford Bisseker,0,Borussia Dortmund,Greece,24,Forward,13
3,Sarina Feltham,2,Seattle Sounders,China,22,Forward,20
4,Alberto Louthe,21,Monaco,China,26,Midfielder,9
5,Cori Layton,22,Real Madrid,China,34,Forward,7
6,Montague Abramino,20,Lyon,China,33,Midfielder,3
7,Fonsie Reynish,50,Manchester United,Brazil,35,Defender,1
8,Noella Savatier,32,Lyon,Tunisia,36,Midfielder,47
9,Lesli Harp,47,Borussia Dortmund,Thailand,22,Forward,14
10,Tiebold Shrimpling,16,Bayren Munich,Malaysia,40,Midfielder,2
11,Heidi Alekseev,24,Seattle Sounders,China,28,Defender,27
12,Riane Linneman,0,Tottenham,Indonesia,30,Forward,44
13,Wenona Kenson,25,Leipzig,Russia,24,Forward,12
14,Rosa Doumerque,32,Monaco,Zambia,24,Defender,5
15,Candice Dwyr,9,Manchester City,Vietnam,33,Midfielder,43
16,Stevy Borell,6,Tottenham,Indonesia,28,Defender,7
17,Carly Czaja,1,Real Madrid,China,32,Midfielder,11
18,Klara McCarver,2,Monaco,China,40,Midfielder,11
19,Quentin Stuffins,46,Newcastle,Indonesia,37,Midfielder,9
20,Milicent Davidsson,37,Arsenal,Sweden,40,Forward,47
21,Jude Horburgh,35,Bayren Munich,Ukraine,36,Defender,25
22,Marketa Brymham,50,Borussia Dortmund,Guinea,37,Defender,41
23,Luelle Featherstonehaugh,14,Chelsea,Brazil,34,Defender,20
24,Amos Szreter,21,Chelsea,Ecuador,25,Midfielder,17
25,Dirk Stoker,31,Real Madrid,Russia,36,Forward,23
26,Charla Menear,21,Newcastle,China,34,Defender,43
27,Estele Lambricht,47,Bayren Munich,Philippines,38,Forward,6
28,Robinia Towey,29,Arsenal,China,39,Defender,33
29,Ysabel Genner,22,Chelsea,Poland,30,Midfielder,39
30,Loutitia Kobera,45,Chelsea,Latvia,17,Midfielder,45
31,Janette Gilgryst,22,Leipzig,Poland,26,Midfielder,23
32,Corney Boughtflower,0,Tottenham,Ukraine,38,Defender,7
33,Barbara-anne Penwell,19,Real Madrid,Peru,21,Defender,18
34,Ava Petchell,7,Manchester United,China,27,Midfielder,25
35,Maud Moreno,13,Barcelona,Philippines,36,Midfielder,2
36,Betsy Bugdale,26,Real Madrid,Thailand,33,Midfielder,5
37,Gun Grayson,4,Arsenal,Greece,26,Forward,0
38,Staford Fareweather,23,Newcastle,Indonesia,31,Forward,32
39,Minnaminnie Enever,12,Arsenal,China,36,Forward,38
40,Rosemarie Wythill,25,Bayren Munich,Philippines,25,Forward,1
41,Nevile Aitkenhead,33,Tottenham,Ireland,33,Midfielder,41
42,Jephthah Haslam,10,Manchester City,Tajikistan,22,Midfielder,37
43,Robby Checketts,23,Tottenham,Poland,20,Midfielder,19
44,Scottie Olenchikov,3,Bayren Munich,Brazil,18,Midfielder,49
45,Reinaldo Vakhrushin,24,Tottenham,China,35,Forward,10
46,Kaycee Yong,27,Monaco,Kosovo,24,Forward,1
47,Giovanna Antonucci,5,Monaco,Guinea-Bissau,35,Defender,47
48,Delaney Faulconbridge,39,Manchester United,Malaysia,38,Forward,21
49,Clint Coushe,11,Manchester United,Indonesia,36,Defender,15
50,Roberto Picheford,2,Chelsea,Russia,23,Defender,47
